0	-62.9931
0.01	-62.9863
0.02	-62.9794
0.03	-62.9726
0.04	-62.9657
0.05	-62.9589
0.06	-62.952
0.07	-62.9452
0.08	-62.9384
0.09	-62.9315
0.1	-62.9247
0.11	-62.9179
0.12	-62.9111
0.13	-62.9042
0.14	-62.8974
0.15	-62.8906
0.16	-62.8838
0.17	-62.877
0.18	-62.8702
0.19	-62.8634
0.2	-62.8566
0.21	-62.8498
0.22	-62.843
0.23	-62.8362
0.24	-62.8294
0.25	-62.8226
0.26	-62.8158
0.27	-62.809
0.28	-62.8023
0.29	-62.7955
0.3	-62.7887
0.31	-62.782
0.32	-62.7752
0.33	-62.7684
0.34	-62.7617
0.35	-62.7549
0.36	-62.7482
0.37	-62.7414
0.38	-62.7347
0.39	-62.7279
0.4	-62.7212
0.41	-62.7144
0.42	-62.7077
0.43	-62.701
0.44	-62.6942
0.45	-62.6875
0.46	-62.6808
0.47	-62.6741
0.48	-62.6674
0.49	-62.6606
0.5	-62.6539
0.51	-62.6472
0.52	-62.6405
0.53	-62.6338
0.54	-62.6271
0.55	-62.6204
0.56	-62.6137
0.57	-62.607
0.58	-62.6003
0.59	-62.5936
0.6	-62.5869
0.61	-62.5803
0.62	-62.5736
0.63	-62.5669
0.64	-62.5602
0.65	-62.5536
0.66	-62.5469
0.67	-62.5402
0.68	-62.5336
0.69	-62.5269
0.7	-62.5202
0.71	-62.5136
0.72	-62.5069
0.73	-62.5003
0.74	-62.4936
0.75	-62.487
0.76	-62.4804
0.77	-62.4737
0.78	-62.4671
0.79	-62.4604
0.8	-62.4538
0.81	-62.4472
0.82	-62.4406
0.83	-62.4339
0.84	-62.4273
0.85	-62.4207
0.86	-62.4141
0.87	-62.4075
0.88	-62.4009
0.89	-62.3942
0.9	-62.3876
0.91	-62.381
0.92	-62.3744
0.93	-62.3678
0.94	-62.3612
0.95	-62.3547
0.96	-62.3481
0.97	-62.3415
0.98	-62.3349
0.99	-62.3283
1	-62.3217
1.01	-62.3151
1.02	-62.3086
1.03	-62.302
1.04	-62.2954
1.05	-62.2889
1.06	-62.2823
1.07	-62.2757
1.08	-62.2692
1.09	-62.2626
1.1	-62.2561
1.11	-62.2495
1.12	-62.243
1.13	-62.2364
1.14	-62.2299
1.15	-62.2233
1.16	-62.2168
1.17	-62.2102
1.18	-62.2037
1.19	-62.1972
1.2	-62.1906
1.21	-62.1841
1.22	-62.1776
1.23	-62.1711
1.24	-62.1645
1.25	-62.158
1.26	-62.1515
1.27	-62.145
1.28	-62.1385
1.29	-62.132
1.3	-62.1255
1.31	-62.119
1.32	-62.1125
1.33	-62.106
1.34	-62.0995
1.35	-62.093
1.36	-62.0865
1.37	-62.08
1.38	-62.0735
1.39	-62.067
1.4	-62.0605
1.41	-62.054
1.42	-62.0475
1.43	-62.0411
1.44	-62.0346
1.45	-62.0281
1.46	-62.0216
1.47	-62.0152
1.48	-62.0087
1.49	-62.0022
1.5	-61.9958
1.51	-61.9893
1.52	-61.9829
1.53	-61.9764
1.54	-61.97
1.55	-61.9635
1.56	-61.9571
1.57	-61.9506
1.58	-61.9442
1.59	-61.9377
1.6	-61.9313
1.61	-61.9248
1.62	-61.9184
1.63	-61.912
1.64	-61.9055
1.65	-61.8991
1.66	-61.8927
1.67	-61.8862
1.68	-61.8798
1.69	-61.8734
1.7	-61.867
1.71	-61.8606
1.72	-61.8541
1.73	-61.8477
1.74	-61.8413
1.75	-61.8349
1.76	-61.8285
1.77	-61.8221
1.78	-61.8157
1.79	-61.8093
1.8	-61.8029
1.81	-61.7965
1.82	-61.7901
1.83	-61.7837
1.84	-61.7773
1.85	-61.7709
1.86	-61.7645
1.87	-61.7581
1.88	-61.7517
1.89	-61.7453
1.9	-61.739
1.91	-61.7326
1.92	-61.7262
1.93	-61.7198
1.94	-61.7135
1.95	-61.7071
1.96	-61.7007
1.97	-61.6943
1.98	-61.688
1.99	-61.6816
2	-61.6752
2.01	-61.6689
2.02	-61.6625
2.03	-61.6562
2.04	-61.6498
2.05	-61.6435
2.06	-61.6371
2.07	-61.6308
2.08	-61.6244
2.09	-61.6181
2.1	-61.6117
2.11	-61.6054
2.12	-61.599
2.13	-61.5927
2.14	-61.5863
2.15	-61.58
2.16	-61.5737
2.17	-61.5673
2.18	-61.561
2.19	-61.5547
2.2	-61.5483
2.21	-61.542
2.22	-61.5357
2.23	-61.5294
2.24	-61.523
2.25	-61.5167
2.26	-61.5104
2.27	-61.5041
2.28	-61.4978
2.29	-61.4915
2.3	-61.4851
2.31	-61.4788
2.32	-61.4725
2.33	-61.4662
2.34	-61.4599
2.35	-61.4536
2.36	-61.4473
2.37	-61.441
2.38	-61.4347
2.39	-61.4284
2.4	-61.4221
2.41	-61.4158
2.42	-61.4095
2.43	-61.4032
2.44	-61.3969
2.45	-61.3906
2.46	-61.3843
2.47	-61.3781
2.48	-61.3718
2.49	-61.3655
2.5	-61.3592
2.51	-61.3529
2.52	-61.3466
2.53	-61.3404
2.54	-61.3341
2.55	-61.3278
2.56	-61.3215
2.57	-61.3153
2.58	-61.309
2.59	-61.3027
2.6	-61.2964
2.61	-61.2902
2.62	-61.2839
2.63	-61.2776
2.64	-61.2714
2.65	-61.2651
2.66	-61.2589
2.67	-61.2526
2.68	-61.2463
2.69	-61.2401
2.7	-61.2338
2.71	-61.2276
2.72	-61.2213
2.73	-61.2151
2.74	-61.2088
2.75	-61.2026
2.76	-61.1963
2.77	-61.1901
2.78	-61.1838
2.79	-61.1776
2.8	-61.1713
2.81	-61.1651
2.82	-61.1588
